epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5352.92,0.88019,0.6822,1.45468,0.98637,0.98913,0.99081,0.68531,1.06987,0.50757,1.913,0.000703961,0.000703961,0.000703961
43,5479.34,0.82139,0.67281,1.43439,0.94186,1,0.97213,0.66949,1.07988,0.51657,1.92848,0.000686277,0.000686277,0.000686277
44,5606.34,0.86217,0.65769,1.47543,0.96873,0.97849,0.98896,0.67416,1.15221,0.52143,1.9926,0.000668593,0.000668593,0.000668593
45,5733.43,0.83592,0.65937,1.44706,0.98475,0.99948,0.99167,0.65631,1.24422,0.53587,2.11013,0.000650909,0.000650909,0.000650909
46,5860.87,0.80917,0.67632,1.43465,0.98078,1,0.98771,0.67862,1.09046,0.48885,1.93918,0.000633226,0.000633226,0.000633226
47,5988.32,0.8089,0.69832,1.42494,0.96906,1,0.98771,0.70101,1.10805,0.48861,1.89387,0.000615542,0.000615542,0.000615542
48,6115.86,0.78957,0.66495,1.40291,0.95546,0.98925,0.98818,0.68516,1.11121,0.52474,1.93587,0.000597858,0.000597858,0.000597858
49,6243.12,0.81252,0.67253,1.42541,0.9758,0.99986,0.98829,0.68776,1.11744,0.49547,1.9477,0.000580174,0.000580174,0.000580174
50,6370.24,0.77466,0.6455,1.38843,0.97636,0.98925,0.98428,0.69461,1.08117,0.497,1.95951,0.00056249,0.00056249,0.00056249
51,6496.95,0.82726,0.6608,1.42895,0.98079,1,0.99297,0.70128,1.06743,0.47272,1.90222,0.000544806,0.000544806,0.000544806
52,6624.11,0.77948,0.70976,1.40622,0.9864,1,0.99167,0.67179,1.13866,0.48093,2.01341,0.000527122,0.000527122,0.000527122
53,6751.89,0.76966,0.67154,1.39944,0.97641,1,0.9916,0.69504,1.08072,0.46811,1.8939,0.000509438,0.000509438,0.000509438
54,6879.32,0.75724,0.64885,1.39313,0.98711,1,0.99073,0.68024,1.1175,0.46751,1.9213,0.000491755,0.000491755,0.000491755
55,7006.19,0.7353,0.62856,1.36051,0.98752,1,0.99469,0.70932,1.07834,0.484,1.90486,0.000474071,0.000474071,0.000474071
56,7133.67,0.73204,0.69242,1.36412,0.98699,1,0.99406,0.70945,1.06785,0.46961,1.84622,0.000456387,0.000456387,0.000456387
57,7260.41,0.75179,0.6872,1.38455,0.98037,1,0.99406,0.70807,1.09155,0.46569,1.88534,0.000438703,0.000438703,0.000438703
58,7387.73,0.73452,0.61344,1.40232,0.98772,1,0.99406,0.68299,1.14946,0.49057,1.98816,0.000421019,0.000421019,0.000421019
59,7514.92,0.71514,0.62456,1.34612,0.98712,1,0.99167,0.70775,1.08393,0.46989,1.86907,0.000403335,0.000403335,0.000403335
60,7641.75,0.75266,0.64009,1.39483,0.98057,1,0.99302,0.72729,1.02685,0.44063,1.80123,0.000385651,0.000385651,0.000385651
