epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19234.7,0.52961,0.55772,1.19132,0.98859,0.99666,0.99477,0.82139,0.7224,0.41825,1.24911,0.000492625,0.000492625,0.000492625
43,19730.9,0.54354,0.56464,1.20868,0.99378,0.99944,0.99455,0.81935,0.70752,0.37703,1.21186,0.00048025,0.00048025,0.00048025
44,20154.4,0.52282,0.54022,1.19125,0.99202,0.99921,0.994,0.81394,0.73729,0.39809,1.26302,0.000467875,0.000467875,0.000467875
45,20574.4,0.52374,0.52013,1.18425,0.99291,0.99869,0.99419,0.81632,0.72597,0.39055,1.23211,0.0004555,0.0004555,0.0004555
46,21014.7,0.52576,0.5342,1.1891,0.99272,0.99599,0.99382,0.81947,0.69326,0.3874,1.23512,0.000443125,0.000443125,0.000443125
47,21430.8,0.51917,0.5207,1.17614,0.99281,1,0.99316,0.82207,0.68775,0.37602,1.20984,0.00043075,0.00043075,0.00043075
48,21866.1,0.50006,0.53079,1.17328,0.97895,0.98247,0.99143,0.8174,0.67719,0.44392,1.20284,0.000418375,0.000418375,0.000418375
49,22294.6,0.50559,0.49982,1.17155,0.97954,0.99572,0.99435,0.81523,0.72015,0.40286,1.24738,0.000406,0.000406,0.000406
50,22710.5,0.49387,0.5212,1.17127,0.99054,0.99655,0.99446,0.83053,0.64955,0.39439,1.15705,0.000393625,0.000393625,0.000393625
51,23125.6,0.49768,0.50956,1.1603,0.99421,0.99674,0.99393,0.83988,0.64573,0.37871,1.14963,0.00038125,0.00038125,0.00038125
52,23576.5,0.48198,0.49865,1.161,0.98801,0.99778,0.99348,0.82698,0.65919,0.39039,1.1705,0.000368875,0.000368875,0.000368875
53,24024.7,0.49282,0.49301,1.17393,0.98834,1,0.99287,0.84522,0.62631,0.36806,1.14529,0.0003565,0.0003565,0.0003565
54,24439.3,0.45363,0.49193,1.12981,0.98564,0.99772,0.99317,0.82557,0.65939,0.3845,1.1563,0.000344125,0.000344125,0.000344125
55,24851.7,0.4704,0.48944,1.14904,0.99141,0.99614,0.9949,0.82183,0.6892,0.39712,1.22416,0.00033175,0.00033175,0.00033175
56,25263.5,0.47422,0.46236,1.14518,0.99267,0.9987,0.99332,0.83804,0.64112,0.3692,1.14718,0.000319375,0.000319375,0.000319375
57,25671.7,0.47774,0.47119,1.16496,0.99477,1,0.99393,0.8346,0.65281,0.37848,1.15711,0.000307,0.000307,0.000307
58,26075.4,0.46313,0.47622,1.1416,0.98506,0.99072,0.99304,0.83258,0.66435,0.39337,1.18551,0.000294625,0.000294625,0.000294625
59,26479.1,0.46078,0.47148,1.14658,0.99336,0.99708,0.99352,0.8363,0.65041,0.37318,1.14257,0.00028225,0.00028225,0.00028225
60,26882.7,0.46824,0.46359,1.1432,0.99081,1,0.99399,0.83192,0.64623,0.38062,1.14002,0.000269875,0.000269875,0.000269875
61,27287.3,0.45558,0.45766,1.13673,0.98957,0.99804,0.99357,0.8398,0.6326,0.38092,1.13953,0.0002575,0.0002575,0.0002575
62,27690.6,0.46597,0.47814,1.14092,0.98623,0.99651,0.99305,0.84678,0.62755,0.36942,1.1187,0.000245125,0.000245125,0.000245125
63,28094.2,0.44124,0.46869,1.13348,0.99024,0.99893,0.99313,0.84454,0.63067,0.36177,1.11114,0.00023275,0.00023275,0.00023275
64,28498.9,0.44544,0.4661,1.13612,0.99402,0.99964,0.99302,0.83326,0.65865,0.37322,1.14258,0.000220375,0.000220375,0.000220375
65,28904.6,0.43742,0.46686,1.1231,0.98434,0.99588,0.9933,0.84747,0.61668,0.36082,1.10547,0.000208,0.000208,0.000208
66,29309.4,0.4334,0.43506,1.12235,0.99202,0.99815,0.99395,0.84726,0.62736,0.35774,1.09013,0.000195625,0.000195625,0.000195625
67,29713.7,0.42458,0.44327,1.11584,0.99228,1,0.99482,0.85208,0.60739,0.3645,1.07474,0.00018325,0.00018325,0.00018325
68,30118.7,0.42105,0.432,1.11385,0.99418,0.99843,0.99463,0.85205,0.61561,0.37151,1.09117,0.000170875,0.000170875,0.000170875
69,30523.8,0.41146,0.42485,1.11317,0.99411,1,0.99428,0.86005,0.58058,0.34969,1.05422,0.0001585,0.0001585,0.0001585
70,30927.8,0.42907,0.42844,1.12217,0.99376,1,0.99373,0.85666,0.5937,0.32863,1.06604,0.000146125,0.000146125,0.000146125
71,31329.8,0.49337,0.34345,1.31138,0.9894,0.99779,0.99157,0.84759,0.60249,0.40758,1.07183,0.00013375,0.00013375,0.00013375
72,31734.8,0.46485,0.29023,1.31124,0.98833,1,0.99246,0.85245,0.59477,0.38556,1.07629,0.000121375,0.000121375,0.000121375
73,32135.8,0.44309,0.2815,1.28119,0.99216,1,0.99216,0.85826,0.56854,0.36024,1.04558,0.000109,0.000109,0.000109
74,32536.6,0.42367,0.26812,1.25348,0.99018,0.99744,0.99198,0.86563,0.55053,0.34084,1.01245,9.6625e-05,9.6625e-05,9.6625e-05
75,32938.4,0.41978,0.25983,1.24981,0.99252,0.99863,0.99222,0.86311,0.54372,0.341,1.01521,8.425e-05,8.425e-05,8.425e-05
76,33339.2,0.41347,0.25789,1.24394,0.98824,0.99918,0.99213,0.86693,0.54087,0.33842,1.01138,7.1875e-05,7.1875e-05,7.1875e-05
77,33739.2,0.41245,0.2552,1.26958,0.99297,1,0.99219,0.86739,0.57454,0.3477,1.01913,5.95e-05,5.95e-05,5.95e-05
78,34141.3,0.39335,0.24722,1.21676,0.99059,0.99937,0.99223,0.873,0.53666,0.34002,0.99691,4.7125e-05,4.7125e-05,4.7125e-05
79,34541.9,0.39881,0.24275,1.2324,0.9899,0.9973,0.99261,0.87356,0.51705,0.33897,0.97999,3.475e-05,3.475e-05,3.475e-05
80,34943.7,0.39876,0.25023,1.2265,0.99199,1,0.99271,0.87474,0.51614,0.34133,0.97759,2.2375e-05,2.2375e-05,2.2375e-05
